"date_policy_idx","u_beta","u_k","u_semaphore","dates"
1,0.3,0,"red",2020-01-08
2,0.3,0,"red",2020-01-15
3,0.3,0,"red",2020-01-22
4,0.3,0,"red",2020-01-29
5,0.3,0,"red",2020-02-05
6,0.3,0,"red",2020-02-12
7,0.3,0,"red",2020-02-19
8,0.3,0,"red",2020-02-26
9,0.3,0,"red",2020-03-04
10,0.3,0,"red",2020-03-11
11,0.3,0,"red",2020-03-18
12,0.3,0,"red",2020-03-25
13,0.3,0,"red",2020-04-01
14,0.3,0,"red",2020-04-08
15,0.3,0,"red",2020-04-15
16,0.3,0,"red",2020-04-22
17,0.3,0,"red",2020-04-29
18,0.3,0,"red",2020-05-06
19,0.3,0,"red",2020-05-13
20,0.3,0,"red",2020-05-20
21,0,0,"green",2020-05-27
22,0,0,"green",2020-06-03
23,0,0,"green",2020-06-10
24,0,0,"green",2020-06-17
25,0,0,"green",2020-06-24
26,0,0,"green",2020-07-01
27,0,0,"green",2020-07-08
28,0,0,"green",2020-07-15
29,0,0,"green",2020-07-22
30,0,0,"green",2020-07-29
31,0,0,"green",2020-08-05
32,0,0,"green",2020-08-12
33,0,0,"green",2020-08-19
34,0,0,"green",2020-08-26
35,0,0,"green",2020-09-02
36,0,0,"green",2020-09-09
37,0,0,"green",2020-09-16
38,0,0,"green",2020-09-23
39,0,0,"green",2020-09-30
40,0,0,"green",2020-10-07
41,0,0,"green",2020-10-14
42,0.3,0,"red",2020-10-21
43,0.3,0,"red",2020-10-28
44,0.3,0,"red",2020-11-04
45,0.3,0,"red",2020-11-11
46,0.3,0,"red",2020-11-18
47,0.3,0,"red",2020-11-25
48,0.3,0,"red",2020-12-02
49,0.3,0,"red",2020-12-09
50,0.3,0,"red",2020-12-16
51,0.3,0,"red",2020-12-23
52,0.3,0,"red",2020-12-30
53,0.3,0,"red",2021-01-06
54,0.3,0,"red",2021-01-13
55,0.3,0,"red",2021-01-20
56,0.3,0,"red",2021-01-27
57,0.3,0,"red",2021-02-03
58,0.3,0,"red",2021-02-10
59,0.3,0,"red",2021-02-17
60,0.3,0,"red",2021-02-24
61,0.3,0,"red",2021-03-03
62,0.3,0,"red",2021-03-10
63,0.3,0,"red",2021-03-17
64,0.3,0,"red",2021-03-24
65,0.3,0,"red",2021-03-31
66,0.3,0,"red",2021-04-07
67,0.3,0,"red",2021-04-14
68,0.3,0,"red",2021-04-21
69,0.3,0,"red",2021-04-28
70,0.3,0,"red",2021-05-05
71,0.3,0,"red",2021-05-12
72,0.3,0,"red",2021-05-19
73,0,0,"green",2021-05-26
74,0,0,"green",2021-06-02
75,0,0,"green",2021-06-09
76,0,0,"green",2021-06-16
77,0,0,"green",2021-06-23
78,0,0,"green",2021-06-30
79,0,0,"green",2021-07-07
80,0,0,"green",2021-07-14
81,0,0,"green",2021-07-21
82,0,0,"green",2021-07-28
83,0,0,"green",2021-08-04
84,0,0,"green",2021-08-11
85,0,0,"green",2021-08-18
86,0,0,"green",2021-08-25
87,0,0,"green",2021-09-01
88,0,0,"green",2021-09-08
89,0,0,"green",2021-09-15
90,0,0,"green",2021-09-22
91,0,0,"green",2021-09-29
92,0,0,"green",2021-10-06
93,0,0,"green",2021-10-13
94,0,0,"green",2021-10-20
95,0.3,0,"red",2021-10-27
96,0.3,0,"red",2021-11-03
97,0.3,0,"red",2021-11-10
98,0.3,0,"red",2021-11-17
99,0.3,0,"red",2021-11-24
100,0.3,0,"red",2021-12-01
101,0.3,0,"red",2021-12-08
102,0.3,0,"red",2021-12-15
103,0.3,0,"red",2021-12-22
104,0.3,0,"red",2021-12-29
105,0.3,0,"red",2022-01-05
106,0.3,0,"red",2022-01-12
107,0.3,0,"red",2022-01-19
108,0.3,0,"red",2022-01-26
109,0.3,0,"red",2022-02-02
110,0.3,0,"red",2022-02-09
111,0.3,0,"red",2022-02-16
112,0.3,0,"red",2022-02-23
113,0.3,0,"red",2022-03-02
114,0.3,0,"red",2022-03-09
115,0.3,0,"red",2022-03-16
116,0.3,0,"red",2022-03-23
117,0.3,0,"red",2022-03-30
118,0.3,0,"red",2022-04-06
119,0.3,0,"red",2022-04-13
120,0.3,0,"red",2022-04-20
121,0.3,0,"red",2022-04-27
122,0.3,0,"red",2022-05-04
123,0.3,0,"red",2022-05-11
124,0.3,0,"red",2022-05-18
125,0,0,"green",2022-05-25
126,0,0,"green",2022-06-01
127,0,0,"green",2022-06-08
128,0,0,"green",2022-06-15
129,0,0,"green",2022-06-22
130,0,0,"green",2022-06-29
131,0,0,"green",2022-07-06
132,0,0,"green",2022-07-13
133,0,0,"green",2022-07-20
134,0,0,"green",2022-07-27
135,0,0,"green",2022-08-03
136,0,0,"green",2022-08-10
137,0,0,"green",2022-08-17
138,0,0,"green",2022-08-24
139,0,0,"green",2022-08-31
140,0,0,"green",2022-09-07
141,0,0,"green",2022-09-14
142,0,0,"green",2022-09-21
143,0,0,"green",2022-09-28
144,0,0,"green",2022-10-05
145,0,0,"green",2022-10-12
146,0,0,"green",2022-10-19
147,0.3,0,"red",2022-10-26
148,0.3,0,"red",2022-11-02
149,0.3,0,"red",2022-11-09
150,0.3,0,"red",2022-11-16
151,0.3,0,"red",2022-11-23
152,0.3,0,"red",2022-11-30
153,0.3,0,"red",2022-12-07
154,0.3,0,"red",2022-12-14
155,0.3,0,"red",2022-12-21
156,0.3,0,"red",2022-12-28
