"date_policy_idx","u_beta","u_k","u_semaphore","dates","start","end","color"
1,0.2,0.5,"orange",2020-01-01,2020-01-01,2020-01-15,"#FF5733"
2,0.3,0,"red",2020-01-15,2020-01-15,2020-04-08,"#b81d13"
8,0.2,0.5,"orange",2020-04-08,2020-04-08,2020-04-22,"#FF5733"
9,0.1,0.25,"yellow",2020-04-22,2020-04-22,2020-05-20,"#ffd966"
11,0,0,"green",2020-05-20,2020-05-20,2020-10-21,"#008450"
22,0.2,0.5,"orange",2020-10-21,2020-10-21,2020-11-04,"#FF5733"
23,0.3,0,"red",2020-11-04,2020-11-04,2021-03-24,"#b81d13"
33,0.2,0.5,"orange",2021-03-24,2021-03-24,2021-04-07,"#FF5733"
34,0.1,0.25,"yellow",2021-04-07,2021-04-07,2021-05-05,"#ffd966"
36,0,0,"green",2021-05-05,2021-05-05,2021-10-20,"#008450"
48,0.1,0.25,"yellow",2021-10-20,2021-10-20,2021-11-03,"#ffd966"
49,0.3,0,"red",2021-11-03,2021-11-03,2022-03-23,"#b81d13"
59,0.2,0.5,"orange",2022-03-23,2022-03-23,2022-04-06,"#FF5733"
60,0.1,0.25,"yellow",2022-04-06,2022-04-06,2022-05-04,"#ffd966"
62,0,0,"green",2022-05-04,2022-05-04,2022-10-19,"#008450"
74,0.1,0.25,"yellow",2022-10-19,2022-10-19,2022-11-02,"#ffd966"
75,0.3,0,"red",2022-11-02,2022-11-02,2022-12-28,"#b81d13"
