"time","xS","xI","xV","xR","xC","xF","xJ","R_t","date"
0,99998,2,0,0,0.00399205,0,0,4.18151312541895,2020-01-01
1,99797.7804402004,2.74757432507241,199.237484388706,0.234501085855529,0.00548015233602094,0.983098525474796,0.000330129590096649,4.16701302625404,2020-01-02
2,99598.7118547048,3.76860290884188,396.965103437697,0.554438948604873,0.00750901233898832,2.32742488604434,0.000749743395344414,4.14970741666633,2020-01-03
3,99400.6565274054,5.15923189635473,593.193341682965,0.990899015315599,0.0102656732550217,4.16106207802192,0.0012913957474462,4.12883193582233,2020-01-04
4,99203.4352407062,7.04672989035348,787.932258614425,1.5857707891182,0.0139950997943113,6.65432736196616,0.00199896338469055,4.10338899265887,2020-01-05
5,99006.815863711,9.5976069594312,981.191375681741,2.39515364791883,0.0190130602662644,10.0314026105931,0.00293121976723089,4.07209803924251,2020-01-06
6,98810.5005187619,13.0263669690842,1172.97953328993,3.49358097917412,0.0257179397625073,14.5834485488023,0.00416627220074187,4.03335165310107,2020-01-07
7,98614.1125363676,17.6036817651373,1363.30471613121,4.97906573613138,0.0345977821261673,20.6820014532635,0.00580686905851797,3.98519288787762,2020-01-08
8,98417.1856414777,23.6617081929408,1552.17385050988,6.97879981947289,0.0462264551919472,28.7902119691378,0.00798640823519968,3.92533893354233,2020-01-09
9,98219.1594995181,31.5928673684993,1739.59258685462,9.65504625875749,0.0612402689995553,39.4677880537534,0.0108751745853585,3.85128601914422,2020-01-10
10,98019.3875724506,41.8370044270081,1925.56509510036,13.2103280220842,0.0802850617133231,53.3636619625558,0.0146858838451485,3.76053478947369,2020-01-11
11,97817.164303525,54.8512986684584,2110.09391871636,17.8904790902226,0.103926359472472,71.1893047608554,0.0196770534694272,3.65096328744405,2020-01-12
12,97611.7773877574,71.0590274456346,2293.1799494294,23.9836353675715,0.132524973030523,93.6668428358609,0.0261522153535815,3.52133338243071,2020-01-13
13,97402.5855276299,90.7787742765855,2474.82258851693,31.8131095765621,0.16609849543614,121.451467498239,0.0344528457533461,3.37184237301798,2020-01-14
14,97189.1122032282,114.144949451571,2655.02013897186,41.722708348389,0.204210249296484,155.037505561587,0.0449435177180795,3.20454795711362,2020-01-15
15,96971.1345221714,141.040385820286,2833.77039943663,54.0546925716028,0.245937334408585,194.669052256816,0.0579894686053529,3.02345928878095,2020-01-16
16,96748.7405771951,171.065273941244,3011.07150036637,69.1226484972349,0.289952506695038,240.281636554818,0.0739288833420961,2.83416267793538,2020-01-17
17,96522.3328839236,203.560106093014,3186.92253859275,87.184471390651,0.334711852808708,291.49779185922,0.0930452178199344,2.6430282452886,2020-01-18
18,96292.575465371,237.680104730915,3361.32426514769,108.420164750352,0.378690474757967,347.678704429232,0.115544325755615,2.45624293772001,2020-01-19
19,96060.3001371516,272.501219780295,3534.27942065367,132.919222414482,0.420590737387108,408.016876534293,0.141541258693239,2.27897805416602,2020-01-20
20,95826.4006359826,307.127591113747,3705.7928180146,160.678954889001,0.459467340342391,471.641141968586,0.171058117935867,2.11491020882438,2020-01-21
21,95591.7407678558,340.775512300575,3875.87120174244,191.612518101176,0.494756484642467,537.707917388458,0.204031713630467,1.96613606151244,2020-01-22
22,95357.0914188578,372.822098009245,4044.52296877178,225.563514361084,0.526231945572998,605.463829371491,0.240327883110847,1.83337889048103,2020-01-23
23,95123.0986506129,402.819945186608,4211.75783423297,262.323569967484,0.553924328070238,674.277450221377,0.279758857646658,1.71633534872001,2020-01-24
24,94890.2768473848,430.486760886878,4377.58650328353,301.649888444701,0.578034534457107,743.646124916397,0.32210066791442,1.6140364173845,2020-01-25
25,94659.0180374316,455.68075009102,4542.02038342834,343.280829048901,0.598859693962425,813.186722276232,0.36710863313555,1.52515075589618,2020-01-26
26,94429.6093418943,478.370728319344,4705.07135046061,386.948579325687,0.616738171036034,882.618322495242,0.414529998168495,1.44820633258872,2020-01-27
27,94202.2528253318,498.606865935386,4866.75156784773,432.388740884987,0.632013061174805,951.742541525818,0.464113531414266,1.38173496713335,2020-01-28
28,93977.084377799,516.495177046576,5027.07335282151,479.347092332669,0.645010460769317,1020.42484429657,0.515616339281111,1.32435631813902,2020-01-29
29,93754.1902350203,532.176714444387,5186.04895924449,527.584091290676,0.656028072999637,1088.57838567829,0.56880848798301,1.27482007496196,2020-01-30
30,93533.6194688594,545.812502664621,5343.69099577221,576.877032703614,0.665331432435898,1156.15108905956,0.623475113518449,1.23201804872224,2020-01-31
31,93315.3955966906,557.570889066563,5500.01165121157,627.021863031125,0.67315257627577,1223.11518187255,0.679418578142161,1.19498643950578,2020-02-01
32,93099.5236555011,567.620246603269,5655.02315218448,677.832945710987,0.679692636329846,1289.45967279384,0.736458208578495,1.16289333815976,2020-02-02
33,92885.9962695885,576.123390619221,5808.73762256281,729.142717229224,0.685124616945349,1355.18461435163,0.79443011331598,1.13502570855647,2020-02-03
34,92674.7979229867,583.234203713326,5961.16707276739,780.80080053236,0.689596703000036,1420.29698874606,0.853186417371211,1.11077468446199,2020-02-04
35,92465.9080227594,589.095716491267,6112.32339437847,832.67286637059,0.693235525985552,1484.80778880688,0.912594239712866,1.08962135460722,2020-02-05
36,92259.3030596635,593.839214753359,6262.21835829764,884.639367285198,0.696149188811553,1548.72998783814,0.972534536347538,1.07112376874805,2020-02-06
37,92054.9581049749,597.584049230651,6410.86361521887,936.594230575278,0.698429964929659,1612.07716014975,1.03290089443003,1.05490544696847,2020-02-07
38,91852.8478250897,600.437909339741,6558.27069754173,988.443568028402,0.700156652269083,1674.8625714688,1.09359833475887,1.0406454252403,2020-02-08
39,91652.9471497076,602.497388743428,6704.45102212995,1040.10443941864,0.701396596658396,1737.09860434334,1.15454215962809,1.02806974300487,2020-02-09
40,91455.2316938961,603.848720654344,6849.4158935104,1091.50369193867,0.702207415425208,1798.79641920293,1.21565686843768,1.01694422245713,2020-02-10
41,91259.6780074066,604.568598008329,6993.17650724304,1142.57688734156,0.702638457559161,1859.96577867432,1.27687515324741,1.00706837284759,2020-02-11
42,91066.2637044722,604.725020795565,7135.74395328741,1193.26732144433,0.702732036952398,1920.61498285223,1.33813697943911,0.998270257603587,2020-02-12
43,90874.967721605,604.378088070497,7277.12910212824,1243.52508819575,0.702524446054764,1980.75082790336,1.39938874610179,0.99040226701656,2020-02-13
44,90685.7694732647,603.580981743838,7417.34307743587,1293.30646755512,0.702046942399612,2040.37886342371,1.46058255445145,0.983337112195276,2020-02-14
45,90498.6500750346,602.380435985117,7556.39655294914,1342.57293603057,0.701326320108127,2099.50317218877,1.5216755135807,0.976965343910042,2020-02-15
46,90313.5914390547,600.817626052578,7694.30022686301,1391.29070802912,0.700385651709796,2158.12667331585,1.58262915102263,0.971192375144283,2020-02-16
47,90130.5764144242,598.928752597786,7831.06470604732,1439.43012693011,0.699244787642887,2216.25117658714,1.64340887949063,0.965936405674836,2020-02-17
48,89949.588711042,596.745616279665,7966.70050826042,1486.96516441735,0.697920805313677,2273.87748864351,1.7039835256499,0.961126578486869,2020-02-18
49,89770.6128229709,594.296134563931,8101.21806416354,1533.87297830107,0.696428390670054,2331.00551593205,1.76432491385041,0.956701416533954,2020-02-19
50,89593.6339540986,591.604804007258,8234.62771915189,1580.13352274169,0.694780163102297,2387.63436208087,1.82440749913561,0.952607494511904,2020-02-20
