"date_policy_idx","u_beta","u_k","u_semaphore","dates","start","end","color"
1,0.2,0.5,"orange",2020-01-01,2020-01-01,2020-01-15,"#FF5733"
2,0.3,0,"red",2020-01-15,2020-01-15,2020-02-12,"#b81d13"
4,0.2,0.5,"orange",2020-02-12,2020-02-12,2020-03-25,"#FF5733"
7,0.1,0.25,"yellow",2020-03-25,2020-03-25,2020-05-06,"#ffd966"
10,0,0,"green",2020-05-06,2020-05-06,2020-10-21,"#008450"
22,0.1,0.25,"yellow",2020-10-21,2020-10-21,2020-11-04,"#ffd966"
23,0.2,0.5,"orange",2020-11-04,2020-11-04,2021-03-10,"#FF5733"
32,0.1,0.25,"yellow",2021-03-10,2021-03-10,2021-05-05,"#ffd966"
36,0,0,"green",2021-05-05,2021-05-05,2021-10-20,"#008450"
48,0.1,0.25,"yellow",2021-10-20,2021-10-20,2021-11-03,"#ffd966"
49,0.2,0.5,"orange",2021-11-03,2021-11-03,2022-03-09,"#FF5733"
58,0.1,0.25,"yellow",2022-03-09,2022-03-09,2022-05-04,"#ffd966"
62,0,0,"green",2022-05-04,2022-05-04,2022-10-19,"#008450"
74,0.1,0.25,"yellow",2022-10-19,2022-10-19,2022-11-02,"#ffd966"
75,0.2,0.5,"orange",2022-11-02,2022-11-02,2022-12-28,"#FF5733"
